neo_reference_id,name,absolute_magnitude_h,kilometer_est_diameter_min,kilometer_est_diameter_max,potentially_hazardous,perihelion_distance,aphelion_distance,orbital_period,semi_major_axis,min_orbit_intersection
2021277,21277 (1996 TO5),16.0,1.6770846216,3.750075218,False,1.139487239997944,3.614187256438178,1338.435952995174,2.376837248218061,.312301
2153306,153306 (2001 JL1),16.7,1.214940408,2.7166893409,False,1.218119697841313,3.888221259359817,1490.109378710325,2.553170478600565,.506986
2162038,162038 (1996 DH),16.6,1.2721987854,2.844722965,False,1.147848017883828,2.025798642580964,730.1150360840754,1.586823330232396,.134543
2163335,163335 (2002 LJ),17.0,1.0581688593,2.3661375011,False,.4420341655738967,2.213858485430817,558.9451720149525,1.327946325502357,.500899
2189058,189058 (2000 UT16),16.5,1.332155667,2.978790628,False,1.255339859736561,3.883650778604555,1504.42372319692,2.569495319170558,.53804
2210012,210012 (2006 KT1),16.6,1.2721987854,2.844722965,False,1.215830329161964,3.398768837863281,1280.130981405265,2.307299583512622,.204639
2276274,276274 (2002 SS41),17.2,0.9650614696,2.1579430484,False,1.299291745430348,2.9101890036538,1115.311614869463,2.104740374542074,.600743
2277473,277473 (2005 WD1),16.9,1.1080388213,2.4776501261,False,1.228640507473332,3.170642740493089,1191.588548254371,2.199641623983211,.496629
2305090,305090 (2007 VQ4),16.2,1.5295193534,3.4201092472,False,1.276534708380629,3.993088908523395,1562.15034331773,2.634811808452012,.514533
2315020,315020 (2007 BG49),18.7,0.4836764882,1.0815335068,False,1.252174224099544,2.435445723417532,914.4767466507205,1.843809973758538,.280826
2322913,322913 (2002 CM1),16.9,1.1080388213,2.4776501261,False,1.238008003771599,3.361673070337361,1273.928382998056,2.29984053705448,.578214
2341816,341816 (2007 YK),17.5,0.8405334021,1.8794898244,False,1.268149288189913,2.47224041635802,934.1760154191751,1.870194852273966,.498501
2356285,356285 (2010 DE),17.3,0.9216265485,2.0608196123,False,1.274458643772971,2.952276807899159,1122.176147083447,2.113367725836065,.49911
2385580,385580 (2004 XO14),16.1,1.6016033798,3.5812940302,False,1.18776245206134,4.150234396450861,1592.652042669773,2.668998424256101,.464596
2397237,397237 (2006 KZ112),16.7,1.214940408,2.7166893409,False,.2856750891981457,4.76384645229246,1465.307516079162,2.524760770745303,.530546
2431394,431394 (2007 FS35),19.5,0.3346223745,0.7482383761,False,1.172864385954606,2.671953283498147,973.5697186142127,1.922408834726377,.156375
2435730,435730 (2008 UK90),18.9,0.4411182,0.9863702813,False,1.260452097132647,2.747642805075592,1036.240178777913,2.00404745110412,.562501
2451297,451297 (2010 TK54),19.2,0.3841978911,0.8590926012,True,.9292809933597693,2.75176436213849,912.0322305409521,1.84052267774913,.0140093
2452307,452307 Manawydan (1997 XV11),18.3,0.5815070396,1.30028927,False,1.274027214075949,2.460481660558749,931.9737434329078,1.867254437317349,.583961
2452421,452421 (2002 VX99),18.4,0.5553349116,1.2417666126,False,1.284227909991313,3.979496819653274,1559.528039493495,2.631862364822294,.515224
2453100,453100 (2007 WU4),18.9,0.4411182,0.9863702813,False,1.259102054580039,3.848700533791466,1490.749214411317,2.553901294185752,.505315
2454266,454266 (2014 FM7),18.9,0.4411182,0.9863702813,False,1.247056709519223,2.271094897365951,852.1680730531156,1.759075803442587,.283805
3012393,(1979 XB),18.6,0.5064714588,1.1325046106,True,.6495979641330815,3.806680928995904,1214.820124987756,2.228139446564493,.023863
3092102,(1990 UN),23.5,0.0530340723,0.1185877909,False,.8069488304654528,2.612781495037682,816.6598842701781,1.709865162751567,.0219335
3092104,(1991 BA),28.6,0.0050647146,0.0113250461,False,.7153261860329255,3.660098933938779,1181.908394160956,2.187712559985852,.000342446
3092105,(1991 JR),23.4,0.0555334912,0.1241766613,False,1.038866027050152,1.772546440595873,608.7518345776285,1.405706233823012,.0442511
3092106,(1991 TT),26.0,0.0167708462,0.0375007522,False,1.001815070127362,1.386230081099662,476.559612667058,1.194022575613512,.030637
3092107,(1991 TU),28.4,0.0055533491,0.0124176661,False,.9456035412097838,1.895868145642371,618.5409155569113,1.420735843426077,.00447171
3003148,(1991 VA),26.5,0.0133215567,0.0297879063,False,.9250174277467393,1.952817704698022,630.4523945338517,1.438917566222381,.00721721
3092109,(1991 XA),23.7,0.0483676488,0.1081533507,False,.9794119628423262,3.553418865265314,1246.257255324879,2.26641541405382,.047372
3092111,(1992 DU),25.3,0.0231502122,0.0517654482,False,.9567545886582309,1.360385458211112,455.4931583138008,1.158570023434672,.0378716
3092112,(1992 YD3),26.4,0.0139493823,0.0311917671,False,1.00600384468921,1.324155954448673,459.337594182151,1.165079899568942,.0235471
3092113,(1993 BD3),26.2,0.0152951935,0.0342010925,False,1.021728421981146,2.249974742595951,764.2127418550201,1.635851582288549,.0374988
3005864,(1993 BU3),21.5,0.1332155667,0.2978790628,False,1.172955018583217,3.642053268226945,1364.422874480444,2.407504143405081,.196981
3092115,(1993 FA1),25.9,0.0175612318,0.0392681082,False,1.014193576110238,1.838740369023153,622.2874006735209,1.426466972566696,.0252891
3005871,(1993 HC),20.6,0.2016299194,0.4508582062,False,.9771097216764876,3.000760332319393,1024.540949183521,1.98893502699794,.0679399
3092117,(1993 HP1),27.1,0.0101054342,0.0225964377,False,.9726044686148856,3.028616290031015,1033.575493120923,2.00061037932295,.00484466
3092118,(1993 UA),25.4,0.022108281,0.0494356193,False,.9568764990178878,3.063369893406469,1040.956160443305,2.010123196212179,.00229712
